Copyright and License Notice. Macedonian Learning Cards v0.2<br/>[Set 08 - License],"Rendered documents are distributed under GPL. If you have any questions, please contact the author at nikita [at] pchelin [dot] ca. Project home: https://github.com/jango/macedonian-qcards<br/>[Сет 08 - Лиценца]"
airplane<br/>[Set 08 - Nouns],"ави<span style=""text-decoration: italic;"">о</span>н<br/>[Сет 08 - Именки]"
coast; shore; bank<br/>[Set 08 - Nouns],брег<br/>[Сет 08 - Именки]
boat<br/>[Set 08 - Nouns],брод<br/>[Сет 08 - Именки]
fool<br/>[Set 08 - Nouns],"б<span style=""text-decoration: italic;"">у</span>дала (м, ж)<br/>[Сет 08 - Именки]"
little fool (diminutive)<br/>[Set 08 - Nouns],"б<span style=""text-decoration: italic;"">у</span>далче<br/>[Сет 08 - Именки]"
engagement<br/>[Set 08 - Nouns],"в<span style=""text-decoration: italic;"">е</span>ридба<br/>[Сет 08 - Именки]"
rowing<br/>[Set 08 - Nouns],"в<span style=""text-decoration: italic;"">е</span>слање<br/>[Сет 08 - Именки]"
Mr.<br/>[Set 08 - Nouns],"г<span style=""text-decoration: italic;"">о</span>сподин<br/>[Сет 08 - Именки]"
Mrs.<br/>[Set 08 - Nouns],"г<span style=""text-decoration: italic;"">о</span>споѓа<br/>[Сет 08 - Именки]"
Miss<br/>[Set 08 - Nouns],"госп<span style=""text-decoration: italic;"">о</span>ѓица<br/>[Сет 08 - Именки]"
date<br/>[Set 08 - Nouns],"д<span style=""text-decoration: italic;"">а</span>тум<br/>[Сет 08 - Именки]"
graduation<br/>[Set 08 - Nouns],"диплом<span style=""text-decoration: italic;"">и</span>рање<br/>[Сет 08 - Именки]"
west (in the west)<br/>[Set 08 - Nouns],"з<span style=""text-decoration: italic;"">а</span>пад (на з<span style=""text-decoration: italic;"">а</span>пад)<br/>[Сет 08 - Именки]"
nameday<br/>[Set 08 - Nouns],"<span style=""text-decoration: italic;"">и</span>менден<br/>[Сет 08 - Именки]"
east (in the east)<br/>[Set 08 - Nouns],"<span style=""text-decoration: italic;"">и</span>сток (на <span style=""text-decoration: italic;"">и</span>сток)<br/>[Сет 08 - Именки]"
south (in the south)<br/>[Set 08 - Nouns],југ (на југ)<br/>[Сет 08 - Именки]
kayak<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">а</span>јак<br/>[Сет 08 - Именки]"
canoe<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">а</span>ну (с)<br/>[Сет 08 - Именки]"
swimming; bathing<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">а</span>пење<br/>[Сет 08 - Именки]"
small coffee (diminutive)<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">а</span>фенце<br/>[Сет 08 - Именки]"
peanut<br/>[Set 08 - Nouns],"кикир<span style=""text-decoration: italic;"">и</span>тка<br/>[Сет 08 - Именки]"
cookie<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">о</span>лаче<br/>[Сет 08 - Именки]"
neighbor<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">о</span>мшија<br/>[Сет 08 - Именки]"
box<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">у</span>тија<br/>[Сет 08 - Именки]"
little dog (diminutive)<br/>[Set 08 - Nouns],"к<span style=""text-decoration: italic;"">у</span>ченце<br/>[Сет 08 - Именки]"
lion<br/>[Set 08 - Nouns],лав<br/>[Сет 08 - Именки]
mom! (vocative form)<br/>[Set 08 - Nouns],"м<span style=""text-decoration: italic;"">а</span>мо<br/>[Сет 08 - Именки]"
possibility<br/>[Set 08 - Nouns],"м<span style=""text-decoration: italic;"">о</span>жност (ж)<br/>[Сет 08 - Именки]"
sea<br/>[Set 08 - Nouns],"м<span style=""text-decoration: italic;"">о</span>ре<br/>[Сет 08 - Именки]"
newborn<br/>[Set 08 - Nouns],"новор<span style=""text-decoration: italic;"">о</span>денче<br/>[Сет 08 - Именки]"
rest; vacation<br/>[Set 08 - Nouns],"<span style=""text-decoration: italic;"">о</span>дмор (на <span style=""text-decoration: italic;"">о</span>дмор)<br/>[Сет 08 - Именки]"
ocean<br/>[Set 08 - Nouns],"оке<span style=""text-decoration: italic;"">а</span>н<br/>[Сет 08 - Именки]"
hiking<br/>[Set 08 - Nouns],"пеш<span style=""text-decoration: italic;"">а</span>чење<br/>[Сет 08 - Именки]"
beach<br/>[Set 08 - Nouns],"пл<span style=""text-decoration: italic;"">а</span>жа<br/>[Сет 08 - Именки]"
mountaineering; mountain climbing<br/>[Set 08 - Nouns],"планин<span style=""text-decoration: italic;"">а</span>рење<br/>[Сет 08 - Именки]"
swimming<br/>[Set 08 - Nouns],"пл<span style=""text-decoration: italic;"">и</span>вање<br/>[Сет 08 - Именки]"
sailing<br/>[Set 08 - Nouns],"пл<span style=""text-decoration: italic;"">о</span>вење<br/>[Сет 08 - Именки]"
portion<br/>[Set 08 - Nouns],"п<span style=""text-decoration: italic;"">о</span>рција<br/>[Сет 08 - Именки]"
visit<br/>[Set 08 - Nouns],"п<span style=""text-decoration: italic;"">о</span>сета<br/>[Сет 08 - Именки]"
sightseeing<br/>[Set 08 - Nouns],"разглед<span style=""text-decoration: italic;"">у</span>вање<br/>[Сет 08 - Именки]"
birthday<br/>[Set 08 - Nouns],"р<span style=""text-decoration: italic;"">о</span>денден<br/>[Сет 08 - Именки]"
birthplace; native land<br/>[Set 08 - Nouns],"р<span style=""text-decoration: italic;"">о</span>ден к<span style=""text-decoration: italic;"">р</span>ај<br/>[Сет 08 - Именки]"
wedding<br/>[Set 08 - Nouns],"св<span style=""text-decoration: italic;"">а</span>дба (на)<br/>[Сет 08 - Именки]"
north (in the north)<br/>[Set 08 - Nouns],"с<span style=""text-decoration: italic;"">е</span>вер (на с<span style=""text-decoration: italic;"">е</span>вер)<br/>[Сет 08 - Именки]"
family<br/>[Set 08 - Nouns],"сем<span style=""text-decoration: italic;"">е</span>јство<br/>[Сет 08 - Именки]"
family feast in honor of patron saint; glory<br/>[Set 08 - Nouns],"сл<span style=""text-decoration: italic;"">а</span>ва<br/>[Сет 08 - Именки]"
sunbathing<br/>[Set 08 - Nouns],"с<span style=""text-decoration: italic;"">о</span>нчање<br/>[Сет 08 - Именки]"
neighbor<br/>[Set 08 - Nouns],"с<span style=""text-decoration: italic;"">о</span>сед<br/>[Сет 08 - Именки]"
luck<br/>[Set 08 - Nouns],"ср<span style=""text-decoration: italic;"">е</span>ќа<br/>[Сет 08 - Именки]"
tourist agency<br/>[Set 08 - Nouns],"турист<span style=""text-decoration: italic;"">и</span>чката аг<span style=""text-decoration: italic;"">е</span>нција<br/>[Сет 08 - Именки]"
rowboat<br/>[Set 08 - Nouns],"ч<span style=""text-decoration: italic;"">а</span>м<span style=""text-decoration: underline;"">е</span>ц<br/>[Сет 08 - Именки]"
glass<br/>[Set 08 - Nouns],"ч<span style=""text-decoration: italic;"">а</span>ша<br/>[Сет 08 - Именки]"
bottle<br/>[Set 08 - Nouns],"ш<span style=""text-decoration: italic;"">и</span>ше<br/>[Сет 08 - Именки]"
"forest, woods<br/>[Set 08 - Nouns]","ш<span style=""text-decoration: italic;"">у</span>ма<br/>[Сет 08 - Именки]"
important<br/>[Set 08 - Adjectives],"в<span style=""text-decoration: italic;"">а</span>ж<span style=""text-decoration: underline;"">е</span>н<br/>[Сет 08 - Придавки]"
stupid<br/>[Set 08 - Adjectives],"гл<span style=""text-decoration: italic;"">у</span>пав<br/>[Сет 08 - Придавки]"
married (said of a man)<br/>[Set 08 - Adjectives],"ж<span style=""text-decoration: italic;"">е</span>нет<br/>[Сет 08 - Придавки]"
married (said of a woman)<br/>[Set 08 - Adjectives],"(о)м<span style=""text-decoration: italic;"">а</span>жена<br/>[Сет 08 - Придавки]"
