"[Copyright & License Notice]{LaTeX template is copyrighted by its author and licensed under GPL. Rendered documents and code used to generate them is copyrighted and is distributed under GNU General Public License. If you have any questions, please contact the author at nikita [at] pchelin.ca]",Copyright & License Notice
"The Balkans, the Balkan peninsula<br>[Set 05 - Nouns]","Б<span style=""font-weight:600;"">а</span>лкан<br>[Сет 05 - Именки]"
viola<br>[Set 05 - Nouns],"ви<span style=""font-weight:600;"">о</span>ла<br>[Сет 05 - Именки]"
violin<br>[Set 05 - Nouns],"виол<span style=""font-weight:600;"">и</span>на<br>[Сет 05 - Именки]"
cello<br>[Set 05 - Nouns],"виол<span style=""font-weight:600;"">о</span>нчело<br>[Сет 05 - Именки]"
gajda (bagpipe)<br>[Set 05 - Nouns],"г<span style=""font-weight:600;"">а</span>јда<br>[Сет 05 - Именки]"
guitar<br>[Set 05 - Nouns],"г<span style=""font-weight:600;"">и</span>тара<br>[Сет 05 - Именки]"
friend<br>[Set 05 - Nouns],"др<span style=""font-weight:600;"">у</span>гар/др<span style=""font-weight:600;"">у</span>гарка<br>[Сет 05 - Именки]"
euro<br>[Set 05 - Nouns],"<span style=""font-weight:600;"">е</span>вро<br>[Сет 05 - Именки]"
entertainment<br>[Set 05 - Nouns],"з<span style=""font-weight:600;"">а</span>бава<br>[Сет 05 - Именки]"
zurla (doublereed instrument)<br>[Set 05 - Nouns],"з<span style=""font-weight:600;"">у</span>рла<br>[Сет 05 - Именки]"
choice<br>[Set 05 - Nouns],"<span style=""font-weight:600;"">и</span>збор<br>[Сет 05 - Именки]"
instrument<br>[Set 05 - Nouns],"инструм<span style=""font-weight:600;"">е</span>нт<br>[Сет 05 - Именки]"
internet<br>[Set 05 - Nouns],"<span style=""font-weight:600;"">и</span>нтернет<br>[Сет 05 - Именки]"
kaval (endblown flute)<br>[Set 05 - Nouns],"к<span style=""font-weight:600;"">а</span>вал<br>[Сет 05 - Именки]"
country music<br>[Set 05 - Nouns],"к<span style=""font-weight:600;"">а</span>нтри м<span style=""font-weight:600;"">у</span>зика<br>[Сет 05 - Именки]"
piano<br>[Set 05 - Nouns],"кл<span style=""font-weight:600;"">а</span>вир<br>[Сет 05 - Именки]"
clarinet<br>[Set 05 - Nouns],"кларин<span style=""font-weight:600;"">е</span>т<br>[Сет 05 - Именки]"
concert<br>[Set 05 - Nouns],"к<span style=""font-weight:600;"">о</span>нцерт<br>[Сет 05 - Именки]"
place<br>[Set 05 - Nouns],"м<span style=""font-weight:600;"">е</span>сто<br>[Сет 05 - Именки]"
music<br>[Set 05 - Nouns],"м<span style=""font-weight:600;"">у</span>зика<br>[Сет 05 - Именки]"
jewelry<br>[Set 05 - Nouns],"н<span style=""font-weight:600;"">а</span>кит<br>[Сет 05 - Именки]"
week; Sunday<br>[Set 05 - Nouns],"н<span style=""font-weight:600;"">е</span>дела<br>[Сет 05 - Именки]"
oboe<br>[Set 05 - Nouns],"об<span style=""font-weight:600;"">о</span>а<br>[Сет 05 - Именки]"
opera<br>[Set 05 - Nouns],"<span style=""font-weight:600;"">о</span>пера<br>[Сет 05 - Именки]"
dance<br>[Set 05 - Nouns],"<span style=""font-weight:600;"">о</span>ро<br>[Сет 05 - Именки]"
market<br>[Set 05 - Nouns],"п<span style=""font-weight:600;"">а</span>зар<br>[Сет 05 - Именки]"
money<br>[Set 05 - Nouns],"п<span style=""font-weight:600;"">а</span>ри (мн)<br>[Сет 05 - Именки]"
song; poem<br>[Set 05 - Nouns],"п<span style=""font-weight:600;"">е</span>сна<br>[Сет 05 - Именки]"
piano<br>[Set 05 - Nouns],"пиј<span style=""font-weight:600;"">а</span>но<br>[Сет 05 - Именки]"
pop music<br>[Set 05 - Nouns],"поп м<span style=""font-weight:600;"">у</span>зика<br>[Сет 05 - Именки]"
post office<br>[Set 05 - Nouns],"п<span style=""font-weight:600;"">о</span>шта (на)<br>[Сет 05 - Именки]"
holiday<br>[Set 05 - Nouns],"пр<span style=""font-weight:600;"">а</span>зник<br>[Сет 05 - Именки]"
rock music<br>[Set 05 - Nouns],"рoк м<span style=""font-weight:600;"">у</span>зика<br>[Сет 05 - Именки]"
watch; hour<br>[Set 05 - Nouns],"с<span style=""font-weight:600;"">а</span>ат<br>[Сет 05 - Именки]"
saxophone<br>[Set 05 - Nouns],"саксоф<span style=""font-weight:600;"">о</span>н<br>[Сет 05 - Именки]"
"instrumentalist, musician<br>[Set 05 - Nouns]","св<span style=""font-weight:600;"">и</span>рач<br>[Сет 05 - Именки]"
style<br>[Set 05 - Nouns],стил<br>[Сет 05 - Именки]
tambura (stringed instrument)<br>[Set 05 - Nouns],"т<span style=""font-weight:600;"">а</span>мбура<br>[Сет 05 - Именки]"
tapan (large drum)<br>[Set 05 - Nouns],"т<span style=""font-weight:600;"">а</span>пан<br>[Сет 05 - Именки]"
"course, in the course of<br>[Set 05 - Nouns]","тек, во т<span style=""font-weight:600;"">е</span>кот на<br>[Сет 05 - Именки]"
"shopping center, mall<br>[Set 05 - Nouns]","трг<span style=""font-weight:600;"">о</span>вски ц<span style=""font-weight:600;"">е</span>нтар<br>[Сет 05 - Именки]"
trombone<br>[Set 05 - Nouns],"тромб<span style=""font-weight:600;"">о</span>н<br>[Сет 05 - Именки]"
trumpet<br>[Set 05 - Nouns],"тр<span style=""font-weight:600;"">у</span>ба<br>[Сет 05 - Именки]"
participant<br>[Set 05 - Nouns],"уч<span style=""font-weight:600;"">е</span>сник (во н<span style=""font-weight:600;"">е</span>што)<br>[Сет 05 - Именки]"
festival<br>[Set 05 - Nouns],"фестив<span style=""font-weight:600;"">а</span>л<br>[Сет 05 - Именки]"
philharmonic<br>[Set 05 - Nouns],"филхарм<span style=""font-weight:600;"">о</span>нија<br>[Сет 05 - Именки]"
flute<br>[Set 05 - Nouns],"фл<span style=""font-weight:600;"">е</span>јта<br>[Сет 05 - Именки]"
folklore; folkloristic<br>[Set 05 - Nouns],"ф<span style=""font-weight:600;"">о</span>лклор<span style=""text-decoration: underline;"">е</span>н<br>[Сет 05 - Именки]"
camera<br>[Set 05 - Nouns],"фотоапар<span style=""font-weight:600;"">а</span>т<br>[Сет 05 - Именки]"
accordion<br>[Set 05 - Nouns],"харм<span style=""font-weight:600;"">о</span>ника<br>[Сет 05 - Именки]"
jazz<br>[Set 05 - Nouns],џез<br>[Сет 05 - Именки]
"loud, noisy; aloud<br>[Set 05 - Adjectives]","гл<span style=""font-weight:600;"">а</span>с<span style=""text-decoration: underline;"">е</span>н<br>[Сет 05 - Придавки]"
