Nouns, Именки, Set 01, Сет 01, "Австралиец, Австралијка", "Australian (male/female)"
Nouns, Именки, Set 01, Сет 01, "Австралијци", "Australians"
Nouns, Именки, Set 01, Сет 01, "адвокат (м)", "lawyer"
Nouns, Именки, Set 01, Сет 01, "Американец, Американка", "American (male/female)"
Nouns, Именки, Set 01, Сет 01, "Американци", "Americans"
Nouns, Именки, Set 01, Сет 01, "Англија", "England"
Nouns, Именки, Set 01, Сет 01, "Англичанец, Англичанка", "English (male/female)"
Nouns, Именки, Set 01, Сет 01, "аптека", "drugstore"
Nouns, Именки, Set 01, Сет 01, "архитект", "architect"
Nouns, Именки, Set 01, Сет 01, "баба", "grandmother"
Nouns, Именки, Set 01, Сет 01, "бела табла", "whiteboard"
Nouns, Именки, Set 01, Сет 01, "брат", "brother"
Nouns, Именки, Set 01, Сет 01, "врата", "door"
Nouns, Именки, Set 01, Сет 01, "град", "city"
Nouns, Именки, Set 01, Сет 01, "гума", "eraser; rubber"
Nouns, Именки, Set 01, Сет 01, "дедо", "grandfather"
Nouns, Именки, Set 01, Сет 01, "земја", "country"
Nouns, Именки, Set 01, Сет 01, "име", "name"
Nouns, Именки, Set 01, Сет 01, "инженер", "engineer"
Nouns, Именки, Set 01, Сет 01, "Канаѓанец, Канаѓанка", "Canadian (male/female)"
Nouns, Именки, Set 01, Сет 01, "Канаѓани", "Canadians"
Nouns, Именки, Set 01, Сет 01, "кино", "movie theatre"
Nouns, Именки, Set 01, Сет 01, "клупа", "school desk, bench"
Nouns, Именки, Set 01, Сет 01, "креда", "chalk"
Nouns, Именки, Set 01, Сет 01, "лекар(ка)", "doctor"
Nouns, Именки, Set 01, Сет 01, "мајка", "mother"
Nouns, Именки, Set 01, Сет 01, "Македонец, Македонка", "Macedonian (male/female)"
Nouns, Именки, Set 01, Сет 01, "Македонци", "Macedonians"
Nouns, Именки, Set 01, Сет 01, "молив", "pencil"
Nouns, Именки, Set 01, Сет 01, "наставник, наставничка", "teacher in middle school, teacher"
Nouns, Именки, Set 01, Сет 01, "националност", "nationality"
Nouns, Именки, Set 01, Сет 01, "ноќ (ж)", "night"
Nouns, Именки, Set 01, Сет 01, "пенкало", "pen"
Nouns, Именки, Set 01, Сет 01, "презиме", "last name"
Nouns, Именки, Set 01, Сет 01, "прозорец", "window"
Nouns, Именки, Set 01, Сет 01, "професија", "profession"
Nouns, Именки, Set 01, Сет 01, "професор(ка)", "high school teacher, professor"
Nouns, Именки, Set 01, Сет 01, "радио", "radio"
Nouns, Именки, Set 01, Сет 01, "сестра", "sister"
Nouns, Именки, Set 01, Сет 01, "службеник, службеничка", "office worker"
Nouns, Именки, Set 01, Сет 01, "столче", "chair"
Nouns, Именки, Set 01, Сет 01, "студент(ка)", "student"
Nouns, Именки, Set 01, Сет 01, "судија (м), судијка (ж)", "judge"
Nouns, Именки, Set 01, Сет 01, "табла", "board; blackboard"
Nouns, Именки, Set 01, Сет 01, "татко", "father"
Nouns, Именки, Set 01, Сет 01, "телевизија", "television"
Nouns, Именки, Set 01, Сет 01, "тетратка", "notebook"
Nouns, Именки, Set 01, Сет 01, "универзитет", "university"
Nouns, Именки, Set 01, Сет 01, "ученик, ученичка", "student (primary and secondary)"
Nouns, Именки, Set 01, Сет 01, "учител(ка)", "school teacher"
Nouns, Именки, Set 01, Сет 01, "формулар", "form, application"
Personal pronouns, Лични заменки, Set 01, Сет 01, "јас, ти, тој, таа, тоа", "I, you, he, she, it"
Personal pronouns, Лични заменки, Set 01, Сет 01, "ние, вие, тие", "we, you, they"
Personal pronouns, Лични заменки, Set 01, Сет 01, "кој", "who"
Personal pronouns, Лични заменки, Set 01, Сет 01, "што", "what"
Verbs, Глаголи, Set 01, Сет 01, "се вика", "to be called"
Verbs, Глаголи, Set 01, Сет 01, "е", "(s)he, it is"
Verbs, Глаголи, Set 01, Сет 01, "се", "they are"
Verbs, Глаголи, Set 01, Сет 01, "си", "you (informal) are"
Verbs, Глаголи, Set 01, Сет 01, "сме", "we are"
Verbs, Глаголи, Set 01, Сет 01, "сте", "you (formal and plural) are"
Verbs, Глаголи, Set 01, Сет 01, "сум", "I am"
Prepositions, Предлози, Set 01, Сет 01, "во, в", "in"
Prepositions, Предлози, Set 01, Сет 01, "на", "at; to; of"
Prepositions, Предлози, Set 01, Сет 01, "по", "by, along"
